introduction 1|Como estudiante de español, he aprendido de la cultura española y el idioma español.
introduction 2|Sé que España tiene una cultura muy vibrante, y me interesa el País Vasco.
introduction 3|Se habla una lengua muy única y antigua, y la región es conocida por su gastronomía e historia.
introduction 4|He explorado cómo la lengua vasca se promueve por los medios de comunicación, la televisión, y el periódico.
introduction 5|Hoy en día, se reconocen los idiomas regionales en España, aparte del castellano como el catalán, el gallego, y el aranés.
introduction 6|Cada región tiene sus propios rasgos, como el baile, la comida, los festivales, y lenguas.
introduction 7|Juntos con el euskera, han sido cooficiales con el castellano desde 1978 aprobados por la constitución.
introduction 8|Durante la época Franquista, el castellano era la única lengua reconocida y apoyada por Franco.
introduction 9|El usó para fomentar sus creencias personales de tener una España sin las diferencias autonómicas que no le gustaban.
introduction 10|Era mal visto por la autoridad de Franco publicar en un idioma regional, y así que la gente en el País Vasco tenía miedo de expresarse en el euskera.
introduction 11|Hoy en día, es la lengua oficial junto con el castellano, pero solo el castellano es oficial a nivel nacional. 
