the event|el acontecimiento
to get used to (starts with "a")|acostumbrarse
the hobby/pastime (starts with "a")|la afición
the supporter/fan (starts with a) (male)|el aficionado
the supporter/fan (starts with a) (female)|la aficionada
the leap year|el año bisiesto
the attendee (always ends in e) (male)|el asistente
the attendee (always ends in e) (female)|la asistente
to attend|asistir
the noise|el bullicio
the mounted procession|la cabalgata
the age-old ceremony (2 words)|la ceremonia ancestral
the deity, god|la deidad
the parade, procession (starts with "d")|el desfile
to highlight, to stand out|destacar
to dress up|disfrazarse
the survey (starts with "e")|la encuesta
squalid (masculine)|escuálido
squalid (feminine)|escuálida
the season of the year|la estación del año
to celebrate (starts with "f")|festejar
the festival, celebration|la festividad
to encourage (starts with "f")|fomentar
the cattle breeder, stockbreeder (male)|el ganadero
the cattle breeder, stockbreeder (female)|la ganadera
to get used to (starts with "h")|habituarse
the gastronomic conference day (2 words (begins with j)|la jornada gastronómica
the farm worker (male)|el labrador
the farm worker (female)|la labradora
to throw, to launch (starts with "L")|lanzar
the pride|el orgullo
to prevail/to predominate|predominar
to burn|quemar
to replace|reemplazar
to give a present|regalar
to meet, to get together (starts with r)|reunirse
to jump|saltar
the semester, term|el semestre
the survey (starts with s)|el sondeo
the term, trimester, three-month period|el trimestre
the open-air dance|la verbena
the link (starts with v)|el vínculo
the voice of the people (3 words)|la voz del pueblo
to feed|alimentar
the food (starts with a)|el alimento
the aperitif, snack|el aperitivo
the scent (starts with a)|la aroma
to roast|asar
"dough ball" (a special sweet that is doghy and cakey at the same time)|el buñuelo
to heat up, warm up something|calentar
the quality|la calidad
the quantity|la cantidad
the cook (male)|el cocinero
the cook (female)|la cocinera
the consumption|el consumo
the crop, harvest (ends in "a")|la cosecha
sought-after/valued (masculine)|cotizado
sought-after/valued (feminine)|cotizada
to grow (like "cultivate")|cultivar
the crops (ends in "o")|el cultivo
the small pastry/pie|la empanadilla
to be in charge of, to take responsibility for (has "de" after the word)|encargarse de
to cool, chill|enfriar
exquisite (masculine)|exquisito
exquisite (feminine)|exquisita
the seasonal fruit|la fruta de temporada
to boil|hervir
to innovate|innovar
the recipe book|el libro de recetas
the coast (starts with L)|el litoral
the maize, corn|el maíz
the raw material|la materia prima
the afternoon snack|la merienda
the smell (starts with o)|el olor
the pleasure|el placer
the new dish|el plato novedoso
the stew|el potaje
the meadow|la pradera
to try a dish|probar un plato
the recipe for a homemade dish|la receta casera
the harvest (starts with r)|la recolección
filled (masculine)|relleno
filled (feminine)|rellena
the flavour, taste|el sabor
to satisfy|satisfacer
the trend|la tendencia
the wheat|el trigo
the piece|el trozo
the accent|el acento
to adapt|adaptarse
to adopt|adoptar
the alphabet|el alfabeto
the illiteracy|el analfabetismo
the ancestor (male)|el antepasado
the ancestor (female)|la antepasada
bilingual (ends in e)|bilingüe
the consonant|la consonante
the co-existence|la convivencia
the dialogue, conversation|el diálogo
the speech (starts with d)|el discurso
the linguistic diversity|la diversidad lingüística
to edit|editar
the teaching|la enseñanza
the intonation|la entonación
the evolution|la evolución
to evolve|evolucionar
to express oneself|expresarse
the speaker of a language (male)|el hablante
the speaker of a language (female)|la hablante
the slang, jargon|la jerga
reader (male)|el lector
reader (female)|la lectora
the mother toungue|la lengua materna
the colloquial language (first word ends in je)|el lenguaje coloquial
the letter of the alphabet|la letra
the capital letter|la letra mayúscula
the lower case letter|la letra minúscula
mute (adjective) (masculine)|mudo
mute (adjective) (feminine)|muda
the sentence, phrase, prayer (starts with o)|la oración
the origin|el origen
the prefix|el prefijo
to preserve|preservar
to come from (starts with p)|proceder de
to publish|publicar
the feature (starts with r)|el rasgo
the acknowledgement|el reconocimiento
the syllable|la sílaba
surprising (ends in e)|sorprendente
the term, word|el término
the terminology|la terminología
to borrow (starts with t)|tomar prestado
the vowel|la vocal
