to consider|considerar
to demonstrate, show|demostrar
the disadvantage|la desventaja
to be fed up with (masculine)|estar harto de
to be fed up with (feminine)|estar harta de
furious (masculine)|furioso
furious (feminine)|furiosa
to earn, win, gain (starts with g)|ganar
the skill, ability|la habilidad
dreadful (masculine)|horroroso
dreadful (feminine)|horrorosa
to imagine|imaginar
useless|inútil
the world|el mundo
to need (1 word, starts with n)|necesitar
to ask for (starts with p)|pedir
worse, worst|peor
on the other hand (literally: "for other part")|por otra parte
the promotion|la promoción
to relate to, to get on with|relacionarse con
to revise|repasar
the revision|el repaso
sure (masculine)|seguro
sure (feminine)|segura
the society|la sociedad
still (starts with t)|todavía
it's worth it, it's worthwhile|vale la pena
on one's own|a solas
to have just done something|acabar de
adequate, decent (masculine)|adecuado
adequate, decent (feminine)|adecuada
isolated (masculine)|aislado
isolated (feminine)|aislada
at the end of|al final de
to appeal|apetecer
to learn (starts with a)|aprender
so (2 words, starts with a)|así que
advanced (masculine)|avanzado
advanced (feminine)|avanzada
the benefit|el beneficio
well paid (masculine)|bien pagado
well paid (feminine)|bien pagada
the quality|la calidad
the university course|la carrera universitaria
the career|la carrera
of course (1 word, starts with c)|claro
to get, manage, achieve (starts with c)|conseguir
the advice|el consejo
to owe (starts with d)|deber
the give back, to pay back|devolver
to enjoy|disfrutar de
the age|la edad
the choose (starts with es)|escoger
to wait for, hope, expect|esperar
to be about to (do something)|estar a punto de
the work experience (starts with e)|la experiencia laboral
ugly (masculine)|feo
ugly (feminine)|fea
the leaflet|el folleto
the graduate (male)|el graduado
the graduate (female)|la graduada
to become a member|hacerse miembro
to worry, to concern (starts with i)|inquietar
far from|lejos de
better, best|mejor
the world of work|el mundo laboral
to offer (starts with o)|ofrecer
to forget (reflexive)|olvidarse
to borrow (2 words)|pedir prestado
bit by bit|poco a poco
to worry, to be concerned|preocuparse
to pick up, to collect (starts with r)|recoger
the student residence|la residencia de esudiantes
the result|el resultado
the follow|seguir
to carry on (doing something)|seguir (+ gerund)
as soon as|tan pronto como
the university degree (starts with t)|el título
to take a year out|tomar un año libre
the advantage|la ventaja
