to communicate|comunicarse
unfortunately (ends in e)|desafortunadamente
to start, begin|empezar
to choose|escoger
brilliant, great|genial
free of charge (ends with s, not a vowel)|gratis
the fact|el hecho
the drawback, disadvantage|el inconveniente
interactive (masculine)|interactivo
interactive (feminine)|interactiva
the boss (masculine)|el jefe
the boss (feminine)|la jefa
the letter of the alphabet|la letra
to send (starts with m)|mandar
to send (starts with e)|enviar
the social media|los medios sociales
the mobile/smartphone|el móvil
to offer|ofrecer
the computer|el ordenador
to be able to|poder
unfortunately (2 words)|por desgracia
as far as i'm concerned (3 words)|por mi parte
the magazine|la revista
the digital magazine|la revista digital
simple (masculine)|sencillo
simple (feminine)|sencilla
neither, nor|tampoco
in my opinion (literally: "in my judgement")|en mi juicio
to bully (starts with a)|acosar
the bullying (starts with a)|el acoso
to excite (starts with "-apa")|apasionar
even (starts with a)|aun
still (starts with a)|aún
low (masculine)|bajo
low (feminine)|baja
to share|compartir
the behaviour (masculine noun)|comportamiento
the development|el desarrollo
the disadvantage|la desventaja
to have a good time|divertirse
free of charge (masculine)|gratuito
free of charge (feminine)|gratuita
to improve|mejorar
the risk|el riesgo
the follower (male)|el seguidor
the follower (female)|la seguidora
to be successful|tener éxito
the user (male)|el usuario
the user (female)|la usuario
the advantage|la ventaja
to walk|andar
the file|el archivo
to delete, erase (starts with b)|borrar
the song|la canción
to load (starts with c)|cargar
to answer|contestar
the spam, junk mail|el correo basura
any|cualquier
from time to time|de vez en cuando
the hard drive|el disco duro
the space|el espacio
same|igual
the laptop|el ordenador portátil
to take photos|sacar fotos
to feel (with touch)|sentir
the tablet|la tableta
the technology|la tecnología
the wireless connection|la conexión inalámbrica
to chat online|chatear
to run|correr
to realise (3 words with de on the end)|darse cuenta de
instead of (literally: "in time of")|en vez de
the best wishes, congratulations|las felicidades
to send best wishes, to congratulate|felicitar
until|hasta
essential (adjective ends in e)|imprescindible
to worry|preocuparse
rarely (2 words)|raras veces
the chat room|la sala de chat
the signal|la señal
the credit card|la tarjeta de crédito
the exact opposite|todo lo contrario
