the outskirts|las afueras
old (starts with a) (masculine)|antiguo
old (starts with a) (feminine)|antigua
the tree|el árbol
the countryside, field, ground|el campo
the bungalow, detached house, villa|el chalet (also chalé)
the coast|la costa
the shelf|el estante
to find (starts with e)|encontrar
to be situated|encontrarse
to meet up with|encontrarse con
the farm|la granja
to keep, to put away, to save (starts with g)|guardar
the bookcase, bookshelf|la librería
the mountain|la montaña
the piece of furniture|el mueble
worse, worst|peor
the flat, floor (of a building)|el piso
under, downstairs|abajo
spacious, roomy (masculine)|amplio
spacious, roomy (feminine)|amplia
above, upstairs, up|arriba
the balcony|el balcón
the heating|la calefacción
the fitted kitchen|la cocina amueblada
the dining room|el comedor
the business, shop (starts with c, masculine noun)|el comercio
essential, indispensable (adjective ends in e)|imprescindible
lower|inferior
garden|jardín
luxurious (masculine)|lujoso
luxurious (feminine)|lujosa
the pet|la mascota
the swimming pool|la piscina
the floor (of a building), plant|la planta
the ground floor|la planta baja
upper, higher (adjective ends in r)|superior
the shop|la tienda
the tower, tower block|la torre
the view, sight|la vista
the avenue (not "alameda")|la avenida
the town hall|el ayuntamiento
welcome (said to a man)|bienvenido
welcome (said to a woman)|bienvenida
the shopping centre|el centro comercial
the city, large town|la ciudad
the youth club|el club de jóvenes
the post office|las correos
to build (starts with c)|construir
to become (starts with c, has "en" after the verb)|convertirse en (+ noun)
the green spaces|los espacios verdes
the factory|la fábrica
to found|fundar
inhabitant (noun ends in e) (male)|el habitante
inhabitant (noun ends in e) (female)|la habitante
the church|la iglesia
to go shopping (uses "ir")|ir de compras
the country|el país
the square (in a town)|la plaza
the sports centre|el polideportivo
the (small) town, willage, people|el pueblo
the bridge|el puente
the century|el siglo
the theatre|el teatro
isolated (masculine)|aislado
isolated (feminine)|aislada
friendly (masculine)|amistoso
friendly (feminine)|amistosa
lively (masculine)|animado
lively (feminine)|animada
the woods, forest|el bosque
the pollution|la contaminación
to look after, to take care of (starts with cu)|cuidar
unemployed|en paro
the estate, (large) farm|la finca
the flower|la flor
the wildlife|la flora y fauna
... ago|hace (+ expression of time)
the oil industry|la industria petrolera
the drawback, inconvenience|el inconveniente
the lake|el lago
place, spot|lugar
the poverty, hardship|la miseria
to move house|mudarse de casa
the poverty|la pobreza
therefore|por lo tanto
damaging|perjudicial
the nightclub|la sala de fiestas
the mountain range|la sierra
the place, site|el sitio
