to get dressed (reflexive)|sich anziehen
to get up, to stand up|aufstehen
the getting up|das Aufstehen
to wake up|aufwachen
to get undressed (reflexive)|sich ausziehen
until, to|bis
to have a shower (reflexive)|sich dischen
the event (starts with E)|das Ereignis (-se)
lazy (starts with f)|faul
hard-working, industrious|fleißig
early|früh
to have a discussion|nachsitzen
to shave (reflexive)|sich rasieren
to put on make-up (reflexive)|sich schminken
to chat|schwatzen
rarely, seldom|seiten
to sit|sitzen
typical|typisch
the changing room|der Umkleideraum (-¨e)
to get washed (reflexive)|sich waschen
to clean one's teeth (reflexive)|sich die Zähne putzen
to copy|abschreiben
the extra-curricular activitity|die AG (-s) (Arbeitsgemeinschaft (-en))
to pay attention|aufpassen
the exchange|der Austasch (-e)
to play truant, to skip school (2 words, first words starts with b)|blau machen
to fail (exam/test) (starts with d)|durchfallen
to relax (reflexive)|sich entspanen
the success|der Erfolg (-e)
to explain|erklären
striped|gestreift
to correct, to mark|korrigieren
to notice|merken
oral|mündlich
the re-sit|die Nachprüfung (-en)
the pressure to get good marks|der Notendruck
the rule|die Regel (-n)
to get, to achieve, to manage|schaffen
to play truant, to skip school (starts with s)|schwänzen
to repeat a school year|sitzen bleiben
nevertheless, even so|trotzdem
unfair|ungerecht
to be moved up to the next year group (2 words)|versetzt werden
crazy|wahnsinnig
to repeat|wiederholen
