to start, to begin|anfangen
to watch, to look at (starts with "ang")|angucken
to watch, to look at (starts with "ans")|ansehen
sold out|ausverkauft
German-speaking|deutschsprachig
successful|erfolgreich
it's about (3 words)|es geht um
the starring role, main role|die Hauptrolle (-n)
to release (a music record etc.)|herausbringen
to meet, to get to know|kennenlernen
the comedy|die Komödie (-n)
the member|das Mitglied (-er)
the record company|die Plattenfirma (-en)
the drum kit|das Schlagzeug
the tour|die Tournee (-s)
to sell|verkaufen
worldwide|weltweit
the adventure|das Abenteuer (-)
to record|aufnehmen
to invite|einladen
relaxing|entspannend
the box, TV|die Flimmerkiste (-en)
to be happy (about) (reflexive)|sich freuen (über)
excellent, outstanding|hervorragend
the century|das Jahrhundert (-e)
the big screen, cinema|die Leinwand (-¨e)
to feel like doing something|Lust haben, etwas zu tun
the director (starts with R)|der Regisseur (-e)
the series (films/books)|die Reihe (-n)
the actor|der Schauspieler (-)
the actress|die Schauspielerin (-nen)
the participant|der Teilnehmer (-)
dead (starts with t)|tot
contemporary,-up to date|zeitgemäß
the eel soup|die Aalsuppe
the dinner, evening meal|das Abandessen (-)
to have no idea (3 words)|keine Ahnung haben
the old part of town|die Altstadt
the roast chicken|das Brathähnchen (-)
the spicy sausage|die Currywurst (-¨e)
the meatball (like "frikandel")|die Frikadelle (-n)
the breakfast|das Frühstück (-e)
to enjoy|genießen
the chicken (starts with H)|das Hähnchen (-)
the raspberry|die Himbeere (-n)
the honey|der Honig
to be hungry|Hunger haben
the potato|die Kartoffel (-n)
the cuisine, kitchen|die Küche (-n)
the fridge|der Kühlschrank (-¨e)
the lunch|das Mittagessen (-)
the cream|die Sahne
the ham sandwhich|das Schinkenbrot (-e)
the soup|die Suppe (-n)
all sorts of|allerlei
the moment (starts with A)|der Augenblick (-e)
the selection, choice|die Auswahl (-en)
to order|bestellen
the crisps (pl) (answer this without an article)|Chips
what would you like? (in a shop/restaurant)|Was darf es sein?
thick, fat|dick
outside, outdoors|draußen
inside, indoors|drinnen
to be thirsty|Durst haben
the corner|die Ecke (-n)
to recommend|empfehlen
to contain|enthalten
the fat|das Fett (-e)
the ready meal|das Fertiggericht (-e)
the dish, meal|das Gericht (-e)
the main course|das Hauptgericht (-e)
to get, to fetch (starts with h)|holen
the waiter|der Kellner (-)
the waitress|die Kellnerin (-nen)
it's OK, it doesn't matter|es macht nichts
the skimmed milk|die Magermilch
the sea view|der Meeresblick (-e)
the seafood (pl)|die Meeresfrüchte
arduous, hard work (starts with m)|mühsam
mussels (pl) (answer this without an article)|Muscheln
the bill|die Rechnung (-en)
the menu|die Speisekarte (-n)
the piece|das Stück (-e)
I'm sorry.|Das tut mir leid.
to avoid (starts with v)|vermeiden
a greeder eater/glutton|der Vielfraß (-e)
the starter|die Vorspeise (-n)
to choose|wählen
to take your time (reflexive)|sich die Zeit nehmen
to leave, to depart, to go off|abfahren
to enjoy oneself (reflexive)|sich amüsieren
hard work, effortful (starts with a)|anstrengend
the trip, excursion|der Ausflug (-¨e)
to bathe, to swim|baden gehen
the visit|der Besuch (-e)
the recorder|die Blockflöte (-n)
the thing|das Ding (-e)
tiring|ermüdend
the fencing (sport)|das Fechten
to get a breath of fresh air (3 words)|frische Luft schnappen
the guided tour|die Führung (-en)
the barbecue|der Drillabend (-e)
great|großartig
to juggle|jonglieren
the youth club|der Jugendklub (-s)
the bowling alley|die Kegelbahn (-en)
to bowl|kegeln
the cookery course|die Kochkurs (-e)
the art gallery|die Kunstgalerie (-n)
the coach (vehicle)|der Reisebus (-se)
the chess|das Schach
to sunbathe (reflexive)|sich sonnen
to take part, to join in|teilnehmen
the table tennis|das Tischtennis
the tournament|das Turnier (-e)
to hike, to walk|wandern
the hike|die Wanderung (-en)
the fear|die Angst (-¨e)
exciting|aufregend
the equipment, kit|die Ausrüstung (-en)
to accompany, to be with|begleiten
to decide (reflexive)|sich entscheiden
to experience|erleben
the parachuting|das Fallschirmspringen
outside, in the open air|im Freien
the footprint|die Fußspur (-en)
the mountain lake|der Gebirgssee (-n)
dangerous|gefährlich
the challenge (starts with H)|die Herausforderung (-en)
physical|köperlich
the achievement|die Leistung (-en)
the possibility|die Möglichkeit (-en)
to have the courage (2 words)|Mumm haben
brave, courageous (starts with m)|mutig
to try out (starts with p)|probieren
to try out (starts with a)|ausprobieren
to dive|tauchen
to overcome|überwinden
adventurous|unternehmungslustig
the white-water swimming|das Wildwasserschwimmen
the point in time, moment|der Zeitpunkt (-e)
