the acquaintance, friend (male)|der Bekannte (-n)
the acquaintance, friend (female)|die Bekannte (-n)
to report|berichten
the (fried) sausage|die Bratwurst (-¨e)
brightly coloured|bunt
to celebrate|feiern
the firework (display)|das Feuerwerk (-e)
the spring|der Frühling
the poem|das Gedicht (-e)
the loved one (male)|der Geliebte (-n)
the loved one (female)|die Geliebte (-n)
the ghost|das Gespenst (-er)
to barbecue|grillen
spooky|gruselig
the heart|das Herz (-n)
heart-shaped|herzförmig
the witch|die Hexe (-n)
the cardboard, cardboard box|der Karton
childish|kindisch
cheesy|kitschig
to stick|kleben
funny, comical, strange, odd|komisch
the costume|das Kostüm (-e)
the pumpkin|der Kürbis (-se)
the lantern|die Laterne (-n)
the neighbour|der Nachbar(-n)
the teddy bear|der Plüschbär (-en)
the chocolate (in a box of chocolates)|die Praline (-n)
the street party|das Straßenfest (-e)
the trick|der Streich (-e)
the Valentine's Day|der Valentinstag (-e)
to put on fancy dress, to dress up, to disguise oneself (reflexive)|sich verkleiden
the magician|der Zauberer (-)
to cool|abkühlen
the Ash Wednesday|der Aschermittwoch
the bear|der Bär (-en)
the lead (metal)|das Blei
the custom, tradition|der Brauch(-¨e)
to burn|brennen
to interpret|deuten
sweet-smelling|duftend
the restriction|die Einschränkung (-en)
to heat|erheitzen
to set|erstarren
the finch|der Fink (-en)
fluid, liquid (adjective)|flüssig
to belong (to)|gehören zu (+ dative)
to pour|gießen
poisonous|giftig
the cold|die kälte
the Good Friday|der Karfreitag
the candle|die Kerze (-n)
the kingdom|das Königreich (-e)
the spoon|der Löffel (-)
the lion|der Löwe (-n)
remarkable|merkwürdig
the Easter Sunday|der Ostersonntag
the parrot|der Papagei (-n)
the puzzle|das Rätsel (-) 
the traveller (male)|der Reisende (-n)
the traveller (female)|die Reisende (-n)
the collection|die Sammlung (-n)
the castle, palace|das Schloss (-¨er)
to melt|schmelzen
the bowl|die Schüssel (-n)
sun-drenched|sonnenreich
different, varied|unterschiedlich
spoilt (e.g child)|verwöhnt
the Remembrance Day|der Volkstrauertag
to predict|vorhersagen
to wish for (reflexive)|sich wünschen
the tin, pewter|das Zinn
to get, receive|bekommen
especially|besonders
naughty, evil, angry|böse
another word for: carnival (starts with F) (masculine noun)|der Fasching
the period of fasting, Lent|die Fastenzeit
another word for: carnival (starts with F) (feminine noun)|die Fastnacht
the celebration (starts with Fei)|die Feier
the celebration (starts with Fes)|die Festlichkeit (-en)
the prayer|das Gebet (-e)
the spirits (pl)|die Geister
exact, exactly (starts with g)|genau
the bell|die Glocke (-n)
holy|heilig
the horn, klaxon|die Hupe (-n)
the carnival (starts with K)|der Karneval
the customer (male)|der Kunde (-n)
the customer (female)|die Kundin (-nen)
the light|das Licht (-er)
the crowd|die Menge (-n)
to join in|mitmachen
the mosque|die Moschee (-n)
to come from, to date from|stammen aus
everywhere|überall
the street procession|der Umzug (-¨e)
to drive out, to expel|vertreiben
the relatives (pl)|die Verwandten
to prepare|vorbereiten
the float (in a procession)|der Wagen (-)
to awaken|wecken
to drive away|wegtreiben
the time|die Zeit
to take down|abbauen
to pick up, to collect|abholen
the store room|der Abstellraum (-e)
agreed|einverstanden
amazing|erstaunlich
festive|festlich
to follow|folgen
the mulled wine|der Glühwein
the glove|der Handschuh (-e)
the Christmas Eve|der Heiligabend
the Epiphany/6th January|der Heiligedreikönigstag
the king|der König (-e)
the tie|die Krawatte (-n)
newborn (adjective)|neugeboren
the earrings (pl)|die Ohrringe
the turkey|die Pute (-n)
to give (a gift)|schenken
the drinks party (literally: standing party)|die Steh-Party
the star|der Stern (-e)
to present, to hand over|übergeben
surprising|überraschend
resolutions (pl) (answer without article)|gute Vorsätze
the Christmas card|die Weihnachtskarte (-n)
the Christmas Day|der erste Weihnachtstag
the Boxing Day|der zweite Weihnachtstag
the frankincense|der Weihrauch
the Christmas list, wish list|der Wunschzettel (-)
to go back to (2 words)|zurückgehen auf
to get together|zusammenkommen
