on|an
on (top of)|auf
the blanket, duvet|die Bettdecke (-n)
the bookshelf|das Bücherregal (-e)
the semi-detached house|das Doppelhaus (-¨er)
own (adj)|eigen
the deteched house|das Einfamilienhaus (-¨er)
fortunately|zum Glück
behind|hinter
the high-rise block of flats|das Hochhaus (-¨er)
broken|kaputt
the wardrobe|der Kleiderschrank (-¨e)
the pillow|das Kopfkissen (-)
the plant|die Pflanze (-n)
the terraced house|das Reihenhaus (-¨er)
the drawer|die Schublade (-n)
the outskirts of town|der Stadtrand (-¨er)
untidy|unordentlich
under|unter
in front of, before, outside|vor
the wall (inside)|die Wand (-¨e)
the block of flats|der Wohnblock (-s)
(in) between|zwischen
the store room|der Abstellraum (-¨e)
the lift|der Aufzug (-¨e)
to move out|asuziehen
the bathtub|die Badewanne (-n)
to be situated (reflexive)|sich befinden
particularly, especially|besonders
the attic, loft|der Dachboden (-¨en)
the roof tile|der Dachstein (-e)
in addition|dazu
to cover|decken
the hallway|die Diele (-n)
to be suitable (reflexive)|sich eignen
for relaxing|zum Entspannen
the floor, storey (starts with E)|die Etage (-n)
cosy, comfortable|gemütlich
roomy, spacious|geräumig
pretty (starts with h)|hübsch
the island|die Insel (-n)
the fireplaceder Kamin (-e)
the cellar, basement (starts with K)|der Keller (-)
the coast|die Küste (-n)
the position|die Lage (-n)
the air conditioning|die Klimaanlage (-n)
the rent|die Miete (-n)
to rent|mieten
the microwave oven|die Mikrowelle (-n)
the floor, storey (starts with O)|das Obergeschoss (-e)
the escalator|die Rolltreppe (-n)
both ... and ...|sowohl ... als auch ...
the storey, floor (starts with S)|das Stockwerk (-e)
the terrace, patio|die Terrasse (-n)
the freezer|der Tiefkühlschrank (-¨e)
the chest freezer|die Tiefkühltruhe (-n)
the utility room|die Waschküche (-n)
the living space, floor area|die Wohnfläche (-n)
the traffic light|die Ampel (-n)
the pharmacy|die Apotheke (-n)
the bakery; baker's shop|die Bäckerei (-en)
a little, a bit|ein bisschen
the roof|das Dach (-¨er)
the monument|das Denkmal (-¨er)
the inhabitant|der Einwohner (-)
the shop for electrical goods|das Elektrogeschäft (-e)
the factory|die Fabrik (-en)
the hairdresser (male)|der Friseur (-e)
the hairdresser (female)|die Friseurin (-nen)
teh pedestrian precinct|die Fußgängerzone (-n)
the region, area (starts with G)|die Gegend (-en)
the harbour, port|der Hafen (-¨)
the main railway station|der Hauptbahnhot (-¨e)
the capital city|die Hauptstadt (-¨e)
the jeweller's shop|das Juweliergeschäft (-e)
teh department store (starts with K)|das Kaufhaus (-¨er)
the clothes shop|das Kleidergeschäft (-e)
the confectioner's|die Konditorei (-en)
the crossroads|die Kreuzung (-en)
the shop (starts with L)|der Laden (-¨)
the grocer's shop|das Lebensmittelgeschäft (-e)
the marketplace|der Marktplatz (-¨e)
the wall (outside)|die Mauer (-n)
the butcher's shop|die Metzgerei (-en)
the greengrocer's shop|der Obst- und Gemüseladen (-läden)
public transport (pl) (answer without article)|öffentliche Verkehrsmittel
the parking space|der Parkplatz (-¨e)
the price|der Preis (-e)
cheap, value for money (answer without article)|preiswert
the dry-cleaner's|die Reinigung (-en)
the suburban (fast) railway|die S-Bahn (-en)
even|sogar
the (savings) bank|die Sparkasse (-n)
the suburb|der Vorort (-e)
the department store (starts with W)|das Warenhaus (-¨er)
every two hours|alle zewi Stunden
to offer (starts with a)|anbieten
pleasant|angenehm
unpleasant|unangenehm
to attract|anziehen
excellent|ausgezeichnet
well-known, famous|bekannt
the pavement|der Bürgersteig (-e)
the bus stop|die Bushaltestelle (-n)
the one-way street|die Einbahnstraße (-n)
away|entfernt
the recovery, revival, relaxation|die Erholung (-en)
named, called|genannt
free of charge (starts with g)|gratis
the green area, park|die Grünanlage (-n)
valuable|hochwertig
the industrial area|das Industriegebiet (-e)
the church tower, spire|der Kirchturm (-¨e)
lively, busy|lebhaft
a lot of, lots (2 words)|eine Menge
in the middle of (2 words)|mitten in
the fashion chain|die Modekette (-n)
the fashion brand|die Modemarke (-n)
to be fed up with something|die Nase voll haben
nowhere|nirgendwo
the discount|der Rabatt (-e)
the cul-de-sac|die Sackgasse (-n)
the jewlery|der Schmuck
the outskirts of the town/city|der Stadtrant (-¨er)
the part of town|der Stadtteil (-e)
the district, part of the town|das Stadtviertel (-)
unreliable|unzuverlässig
the traffic|der Verkehr
numerous|zahlreich
