the rubbish, waste, litter|der Abfall (-¨e)
the exhaust fumes (pl)|die Abgase
the waste paper|das Altpapier
to breathe|atmen
the population|die Bevölkerung (-en)
the organic waste|der Biomüll
the can|die Dose (-n)
the elecric car|das Elektroauto (-s)
the energy-saving bulb|die Energiesparlampe (-n)
the bicycle track/lane|der Fahrradweg (-e)
the airport|der Flughafen (-¨)
the violence|die Gewalt
the yogurt pot|der Jogurtbecher (-)
the chewing gum|der Kaugummi (-s)
the coal|die Kohle
the power station|das Kraftwerk (-e)
the noise|der Lärm
the HGV, lorry|der LKW (-s) (Lastkraftwagen)
the air pollution|die Luftverschmutzung
clean|sauber
dirty|schmutzig
to take off|starten
to take off|starten
the packaging|die Verpackung (-en)
the water pollution|die Wasserverschmutzung
to throw away|wegwerfen
the alternative energy source|die alternative Energiequelle (-n)
to grow (something)|anbauen
the species extinction|das Artensterben
the exhaust fumes (pl) (answer without article)|Auspuffgase
to die out, to become extinct|aussterben
to threaten|bedrohen
already (starts with b)|bereits
the soil|der Boden (-¨)
the fuel|der Brennstoff (-e)
the chemical|die Chemikalie (-n)
the fertiliser|das Düngemittel (-)
terrible, awful, appaling|entsetzlich
the developing country|das Entwicklungsland (-¨er)
the Earth|die Erde
endangered|gefährdet
the rush hour|die Hauptverkehrszeit (-en)
altogether|insgesamt
disaster (starts with K)|die Katastrophe (-n)
the climate change|der Klimawandel
the carbon dioxide|das Kholendioxid (-e)
the ozone layer|die Ozonschicht (-en)
the raw material|der Rohstoff (-e)
the sulphur dioxide|das Schwefeldioxid (-e)
over-populated|überbevölkert
to pollute (starts with "verp")|verpesten
to pollute (starts with "vers")|verschmutzen
to waste|verschwenden
to use|verwenden
to warn about|warnen vor
the water scarcity|die Wasserknappheit
the world|die Welt (-en)
the world population|die Weltbevölkerung (-en)
fewer, less|weniger
to recycle|wiederverwerten
the poverty|die Armut
threatening|bedrohlich
at last, finally|endlich
to appear, to seem|erscheinen
fixed, solid|fest
the firewood|das Feuerholz
to flee|fliehen
to escape|die Flucht (-en)
the refugee|der Flüchtling (-e)
the refugee camp|das Flüchtlingslager (-)
happy, glad, pleased (starts with f)|froh
the birth|die Geburt (-en)
helpless|hilflos
the wood|das Holz
to have no fixed abode|keinen festen Wohnsitz haben
the war|der Krieg (-e)
the life|das Leben (-)
to set off|losgehen
homeless|obdachlos
to throw out|rauswerfen
difficult|schwierig
the soup kitchen|die Suppenküche (-n)
the bag|die Tasche (-n)
over, above, via (starts with ü)|über
to come back|wiederkommen
teetotal|abstinent
the nightmare|der Albtraum (-¨e)
the beard|der Bart (-¨e)
needy|bedürftig
to beg|betteln
the rehab for drug addiction/alcoholism|die Entziehungskur (-en)
to freeze to death|erfrieren
(at) first, only|erst
the businesswoman|die Geschäftsfrau (-en)
at night|nachts
the hostel for homeless people|das Obdachlosenheim (-e)
skint, broke|pleite
to shave (reflexive)|(sich) rasieren
the sleeping bag|der Schlafsack (-¨e)
to argue|streiten
to support|unterstützen
to get worse, to deteriorate (reflexive)|sich verschlechtern
to diappear|verschwinden
probably|wahrscheinlich
to throw out of|(aus ...)werfen
to have no fixed abode|keinen festen Wohnsitz haben
without a doubt|ohne Zweifel
