the school hall|die Aula (Aulen)
the library|die Bibliothek (-en)
to learn, to find out (starts with e)|erfahren
the corridor|der Gang (-¨e)
the building (starts with G)|das Gebäude (-)
mixed|gemischt
the grammar school|das Gymnasium (Gymnasien)
the laboratory|das Labor (-e)
the staffroom|das Lehrerzimmer (-)
the dining hall, canteen|die Mensa (-s)
the new build|der Neubau (-ten)
the break|die Pause (-n)
to chat, to talk (starts with p)|plaudern
the pupil, school student (male)|der Schüler (-)
the pupil, school student (female)|die Schülerin (-nen)
the school yard, playground|der Schulhof (-¨e)
the admin office|das Sekretariat (-e)
the language lab|das Sprachlabor (-e)
the language lessons|der Sprachunterricht (-e)
the theatrical performance|die Theatervorführung (-en)
the sports hall, gym|die Turnhalle (-n)
to rebuild|umbauen
the event (starts with V)|die Veranstaltung (-en)
the assembly|die Versammlung (-en)
very good|1 = sehr gut
good|2 = gut
statisfactory, fair|3 = befriedigend
sufficient, pass (just)|4 = ausreichend
poor, unsatisfactory, fail|5 = mangelhaft
extremely poor, inadequate|6 = ungenügend
the German school leaver qualification (A-Level equivalent)|das Abitur (-e)
the qualification|der (Schul)abschluss (-¨e)
the school leaving certificate|das Abschlusszeugnis (-se)
pleasant, agreeable|angenehm
to pass (an exam/test) (starts with b)|bestehen
the state (of Germany)|das Bundesland (-¨er)
the head teacher (starts with D) (male)|der Direktor (-en)
the head teacher (starts with D) (female)|die Direktorin (-nen)
the language assistant (male)|der Fremdsprachenassistent (-en)
the language assistant (female)|der Fremdsprachenassistentin (-nen)
the all-day school|die Ganztagsschule (-n)
the comprehensive school|die Gesamtschule (-n)
fortunately, luckily|glücklicherweise
the type of secondary school|die Hauptschule (-n)
the caretaker (male)|der Hausmeister (-)
the caretaker (female)|die Hausmeisterin (-nen)
the home economics|die Hauswirtschaft (-en)
the boarding school|der Internat (-e)
the test|die Klassenarbeit (-en)
at least (starts with m)|mindestens
the mark, grade|die Note (-n)
the sixth form|die Oberstufe (-n)
the compulsory subject|das Pflichtfach (-¨er)
the exam (starts with P)|die Prüfung (-en)
the type of secondary school|die Realschule (-n)
the school-leaving certificate usually taken after the sixth year of secondary school|die Mittlere Reife
the head teacher (starts with S) (male)|der Schulleiter (-)
the head teacher (starts with S) (female)|die Schulleiterin (-nen)
the school system|das Schulsystem (-e)
independent|selbstständig
to prepare|vorbereiten
the optional subject|das Wahlfach (-¨er)
(the) handicraft|(das) Werken
the school report|das Zeugnis (-se)
