to pull someone's leg|tomar el pelo
to be a piece of cake|ser pan comido
to be straightforward|no tener pelos en la lengua
to contribute a little bit (but at least it's still something)|poner un grnito de arena
to be stunned|quedarse de piedra
to be in a bad mood|tener un humor de perro
my mouth is watering|se me hace agua la boca
to be loaded to with cash, to be absolutely stacked|tiene más lana que un borrego
to be broke|estar sin blanca
to be a night owl|ser un ave nocturna
to find your soulmate|encontrar a tu media naranja
to look for Mr Right|buscar al príncipe azul
to view things a little too optimistically|ver todo de color rosa
to be very old|ser del año de la pera
to be here, there, and everywhere|estar hasta en la sopa
to not make any sense|no tener pies ni cabeza
to not be able to sleep|no pegar un ojo
to cross the line|pasarse de la raya
pick your poison (literally: "between the sword and the wall")|entre la espada y la pared
of good faith|de buena fe
