nose|la nariz
leg|la pierna
cheeks|las mejillas
arm|el brazo
knee|la rodilla
elbow|el codo
hand|la mano
lips|los labios
a finger|un dedo
teeth|los dientes
breasts|los senos
stomach|el estómago
hip|la cadera
ears|las orejas
eyebrows|las cejas
back|la espalda
butt|el culo
foot|el pie
neck|el cuello
shoulders|los hombros
wrist|la muñeca
rib|la costilla
breast|el seno
eyebrow|la ceja
buttocks|las nalgas
toe|el dedo del pie
ankle|el tobillo
waist|la cintura
shoulder|el hombro
body hair|el vello
muscle|el músculo
organ|el órgano
joint|la articulación
mouth|la boca
face (starts with c)|la cara
face (starts with r)|el rostro
forehead|la frente
tooth|el diente
head|la cabeza
eye|el ojo
brain|el cerebro
stomach|el estómago
belly|la barriga
bone|el hueso
lung|el pulmón
liver|el hígado
