the daisy|la maya
the gardenia|la gardenia
the orchid|la orquídea
the tulip|el tulipán
the marigold|la margarita
the azalea|la azalea
the geranium|el geranio
the lavender|la lavanda
the zinnia|la zinnia
the rose|la rosa
the sunflower|el girasol
the poppy|la amapola
the periwinkle|la teresita
the daffodil|el narciso
the petunia|la petunia
the violet|la violeta
the dusty miller|la dusty miller
the hyacinth|el jacinto
the hibiscus|la jamaica
the hydrangea|la hortensia
the jasmine|el jasmín
the lilac|la lila
the poinsettia|la noche buena
the calendula|la caléndula
the lily|el lirio
the pansy|el pensamiento
the primrose
the alyssum|el aliso
the verbena|la verbena
the snapdragon|la boca de dragón
the aster|el aster
the chrysanthemum|el crisantemo
the delphinium|la espuela de caballero
the juniper|el enebro
the iris|el iris
the begonia|la begonia
the camellia|la camelia
the abutilon|el amantillo
the clematis|la clemátide
the forget me not|el nomeolvides
the snowdrop|la campanilla de invierno
the california poppy|la amapola de California
the cardinal flower|la cardenala encarnada
the water lilies|las ninfeáceas
the columbine|la aguileña
the foxglove|la dedalera
the lantana|la lantana
the lobelia|la lobelia
the aconite|el acónito
the african daisy|la arcotis
the laelia|la laelia
the agapanthus|el agapanto
the statice|la lavanda marina
the peruvian lily|el lirio peruano
the amaranthus|el amaranto
the bluebonnets|el lupino
the amaryllis|la añañuca
the lavatera|la malva
the anemone|la anémona
the anise|el anís
the ballota|la ballota
the duranta|la duranta
the bellflower|la campanula
the bergenia|la vergenia
the black-eyed susan|la rudbeckia bicolor
the wildflowers|las flores salvajes
the larkspur|la consolida
the bletilla|la bletilla
the ageratum|la yerba de zopilote
the bluestar flower|la amsonia azul
the lemon verbena|el cidrón
the bottlebrush|los limpiatubos
the nierembergia|la estrellita de las vegas
the brassica|la mostaza india
the broom|las retamas
the buttercup|la trompeta amarilla
the oriental lily|el lirio oriental
the catharanthus|la chavelita
the lewisia|la lewisia
the celosia|la celosia
the dianthus barbatus|el clavel del poeta
the coneflower|el dracopis
the mimosa|la mimosa
the coral bells|la heuchera
the coreopsis|la calliopsis
the lotus|la flor de loto
the corydalis|la corydalis
the eremurus|la cola de zorro
the crocus|el azafrán
the daphne|el laurel
the linaria|la linaria
the deutzia|la celinda de espigas
the nemopila|la flor ojos de bebé
the diascia|la diáscia
the disa|la disa
the dutch iris|el iris holandés
the silene|la colleja
the echinops|la rolandra
the lunaria|la moneda del Papa
the firethorn|los espinos de fuego
the erigeron|la margarita cimarrona
the lubin|el lubiín
the magnolia|la magnolia
the feverfew|la hierba santa
the mandevilla|la mandevilla
the kniphofia|la bandera española
the flaming katy|la flor de la fortuna
the mayflower|el berro del prado
the forsythia|la campania china
the marguerite daisy|la magarza común
the french marigold|el clavel de moro
the gaillardia|la gallardía
the sedum|la uña de gato
the gazania|la gazania
the peony|la flor maldita
the gerbera flower|la margarita africana
the matthiola|el alhelí
the kalmia|el laurel de monaña
the gladiolas|el lirio común
the freesia|la fresilla
the goldenrod|la vara de oro de Canadá
the guzmania|la flor del incienso
the hawthorn|los majuelos
the heather|la brecina
the hebe|la verónica
the helenium|la enula
the ixora|la cruz de Malta
the ornamental cherry|el cerezo en flor japonés
the pelargonium|el geranio
the quince|el membrillo
the heliotrope|la vainilla de jardín
the scaevola|la flor de abanico
the penstemon|las campanitas
the nemesia|la nemesia
the impatiens|la balsamina
the scilla|la escila
the the cowslip|la flor de la primavera
https://www.berlitz.com/blog/flowers-in-spanish












